Date,Dealer Code,Daily Sales ($),Prior MTD ($),Current MTD ($),YoY MTD ($),YoY MTD (%)
2024-07-25,D003,3947,93401,97348,93160,4.5
2024-07-28,D003,3614,50328,53942,51451,4.84
2024-07-29,D003,6483,59474,65957,68344,-3.49
2024-07-29,D003,5451,50024,55475,52513,5.64
2024-08-05,D003,3910,50306,54216,50641,7.06
2024-08-07,D003,4276,54942,59218,55759,6.2
2024-08-12,D003,3257,88121,91378,90971,0.45
2024-08-29,D003,3298,86302,89600,86756,3.28
2024-09-02,D003,5284,50615,55899,53261,4.95
2024-09-02,D003,3135,54887,58022,57168,1.49
2024-09-05,D003,4097,55950,60047,60121,-0.12
2024-09-11,D003,3327,81480,84807,84497,0.37
2024-09-27,D003,6118,59901,66019,61794,6.84
2024-10-12,D003,6525,94793,101318,99389,1.94
2024-10-17,D003,3761,66312,70073,71637,-2.18
2024-10-17,D003,5836,62638,68474,71295,-3.96
2024-10-17,D003,6240,72970,79210,79507,-0.37
2024-10-19,D003,5514,93292,98806,101206,-2.37
2024-10-19,D003,6956,56641,63597,65656,-3.14
2024-10-26,D003,5428,95113,100541,96115,4.6
2024-11-01,D003,3267,92944,96211,98134,-1.96
2024-11-02,D003,3646,80740,84386,84498,-0.13
2024-11-02,D003,3750,75444,79194,78132,1.36
2024-11-04,D003,5515,84206,89721,88557,1.31
2024-11-09,D003,3215,94214,97429,92693,5.11
2024-11-11,D003,5123,75174,80297,79956,0.43
2024-11-11,D003,5507,65586,71093,69919,1.68
2024-11-19,D003,6064,83455,89519,92210,-2.92
2024-11-20,D003,4125,67269,71394,71553,-0.22
2024-11-24,D003,5659,50255,55914,57412,-2.61
2024-11-25,D003,4959,87865,92824,95376,-2.68
2024-12-01,D003,4497,98359,102856,105161,-2.19
2024-12-02,D003,6646,91520,98166,100067,-1.9
2024-12-04,D003,3169,87693,90862,91117,-0.28
2024-12-11,D003,6985,93813,100798,96032,4.96
2024-12-14,D003,3959,88827,92786,95094,-2.43
2024-12-17,D003,4225,91127,95352,94667,0.72
2024-12-20,D003,4248,78311,82559,79909,3.32
2024-12-22,D003,4708,86693,91401,92493,-1.18
2024-12-25,D003,5733,86631,92364,90643,1.9
2024-12-30,D003,5906,96754,102660,101214,1.43
2024-12-30,D003,3258,50282,53540,50795,5.4
2024-01-04,D004,5440,67550,72990,72415,0.79
2024-01-19,D004,3065,87030,90095,87391,3.09
2024-02-06,D004,5691,61864,67555,68559,-1.46
2024-02-17,D004,4592,98714,103306,99117,4.23
2024-02-19,D004,3284,60832,64116,61731,3.86
2024-02-28,D004,4607,98988,103595,98853,4.8
2024-02-29,D004,4907,52890,57797,57604,0.34
2024-03-05,D004,5642,92137,97779,94675,3.28
2024-03-09,D004,6236,65848,72084,72732,-0.89
2024-03-11,D004,6720,75743,82463,77907,5.85
2024-03-12,D004,3983,97632,101615,98614,3.04
2024-03-15,D004,4503,64342,68845,71480,-3.69
2024-03-15,D004,4937,74605,79542,79328,0.27
2024-03-16,D004,3328,92399,95727,91357,4.78
2024-03-17,D004,6025,69330,75355,70817,6.41
2024-03-19,D004,5832,73147,78979,79993,-1.27
2024-03-22,D004,3753,88328,92081,91065,1.12
2024-03-25,D004,4533,52674,57207,52603,8.75
2024-03-27,D004,3842,76547,80389,79029,1.72
2024-03-30,D004,6416,70829,77245,76715,0.69
2024-03-30,D004,4127,74968,79095,81465,-2.91
2024-04-01,D004,4982,75879,80861,76057,6.32
2024-04-02,D004,5426,74473,79899,79937,-0.05
2024-04-04,D004,3567,99695,103262,99888,3.38
2024-04-09,D004,6921,98014,104935,107117,-2.04
2024-04-13,D004,4506,71727,76233,77378,-1.48
2024-04-13,D004,5383,81390,86773,82809,4.79
2024-04-17,D004,5578,89321,94899,93857,1.11
2024-04-18,D004,6401,94220,100621,98407,2.25
2024-04-21,D004,5743,58039,63782,66776,-4.48
2024-05-04,D004,6153,73834,79987,81281,-1.59
2024-05-05,D004,3174,69194,72368,72276,0.13
2024-05-06,D004,5871,56661,62532,61308,2
2024-05-19,D004,6515,85098,91613,92254,-0.69
2024-05-23,D004,6849,71612,78461,74612,5.16
2024-05-24,D004,6803,96429,103232,102737,0.48
2024-05-26,D004,3489,93485,96974,98792,-1.84
2024-05-26,D004,4790,82980,87770,89112,-1.51
2024-05-28,D004,6175,55581,61756,60942,1.34
2024-06-02,D004,4138,70875,75013,73148,2.55
2024-06-02,D004,4893,80573,85466,81671,4.65
2024-06-06,D004,4780,96579,101359,101946,-0.58
2024-06-09,D004,5686,74995,80681,83088,-2.9
2024-06-12,D004,4029,79171,83200,80420,3.46
2024-06-17,D004,3058,59765,62823,64683,-2.88
2024-06-21,D004,3999,80482,84481,87418,-3.36
2024-06-26,D004,6364,82813,89177,90984,-1.99
2024-06-27,D004,4071,63383,67454,70342,-4.11
2024-06-27,D004,3596,79122,82718,85162,-2.87
2024-06-30,D004,3033,82539,85572,86731,-1.34
2024-07-06,D004,6388,72419,78807,78598,0.27
2024-07-11,D004,5638,67464,73102,69862,4.64
2024-07-15,D004,5692,93978,99670,96272,3.53
2024-07-21,D004,6255,62688,68943,71177,-3.14
2024-07-21,D004,3046,78317,81363,79860,1.88
2024-07-24,D004,3911,70435,74346,69771,6.56
2024-07-26,D004,6541,95771,102312,102289,0.02
2024-07-28,D004,6267,79793,86060,82312,4.55
2024-08-01,D004,3255,91094,94349,93705,0.69
2024-08-10,D004,3079,81282,84361,81784,3.15
2024-08-13,D004,4193,50597,54790,57146,-4.12
2024-08-18,D004,4668,69338,74006,75858,-2.44
2024-08-24,D004,6621,63331,69952,67208,4.08
2024-09-01,D004,4984,53936,58920,55322,6.5
2024-09-02,D004,5436,55769,61205,63898,-4.21
2024-09-07,D004,5371,89836,95207,94907,0.32
2024-09-09,D004,3448,87353,90801,91896,-1.19
2024-09-09,D004,3797,83547,87344,83185,5
2024-09-16,D004,4638,73312,77950,78802,-1.08
2024-09-16,D004,6076,68728,74804,77185,-3.08
2024-09-19,D004,4845,92368,97213,94922,2.41
2024-09-20,D004,5561,66232,71793,66989,7.17
2024-10-01,D004,3723,99376,103099,101472,1.6
2024-10-03,D004,4553,60534,65087,66281,-1.8
2024-10-04,D004,6475,61345,67820,69156,-1.93
2024-10-05,D004,3780,68640,72420,67838,6.75
2024-10-06,D004,6811,63347,70158,66458,5.57
2024-10-06,D004,5899,59638,65537,64094,2.25
2024-10-07,D004,4982,67821,72803,75375,-3.41
2024-10-14,D004,5057,52794,57851,58991,-1.93
2024-10-18,D004,6958,67216,74174,76925,-3.58
2024-10-23,D004,6194,82398,88592,86803,2.06
2024-10-25,D004,6623,67637,74260,69716,6.52
2024-10-28,D004,6002,71770,77772,73830,5.34
2024-11-18,D004,5118,56391,61509,64364,-4.44
2024-11-20,D004,3508,92220,95728,97170,-1.48
2024-11-21,D004,6917,77331,84248,80503,4.65
2024-11-21,D004,5687,80333,86020,86144,-0.14
2024-11-29,D004,4991,82376,87367,85901,1.71
2024-11-29,D004,6373,72821,79194,76118,4.04
2024-12-01,D004,3335,74532,77867,77898,-0.04
2024-12-03,D004,6066,58055,64121,62467,2.65
2024-12-07,D004,4663,98089,102752,103737,-0.95
2024-12-09,D004,4694,60170,64864,67052,-3.26
2024-12-13,D004,4144,82699,86843,87144,-0.35
2024-12-14,D004,6029,57564,63593,63824,-0.36
2024-12-21,D004,6843,52056,58899,54756,7.57
2024-12-25,D004,3634,82543,86177,87778,-1.82
2024-12-31,D004,3690,60040,63730,60589,5.18
2024-12-31,D004,3883,80933,84816,82042,3.38
2024-01-04,D005,6563,95416,101979,103515,-1.48
2024-01-08,D005,6224,63146,69370,72197,-3.92
2024-01-10,D005,4381,58154,62535,64068,-2.39
2024-01-13,D005,3942,74045,77987,79263,-1.61
2024-01-14,D005,3631,59602,63233,61730,2.43
2024-01-20,D005,3389,91669,95058,95440,-0.4
2024-01-25,D005,4847,64569,69416,70760,-1.9
2024-01-25,D005,6724,59175,65899,60997,8.04
2024-02-03,D005,6863,68782,75645,76015,-0.49
2024-02-03,D005,3038,84370,87408,88152,-0.84
2024-02-11,D005,6949,71731,78680,77391,1.67
2024-02-11,D005,6124,91439,97563,97049,0.53
2024-02-13,D005,3717,74893,78610,76981,2.12
2024-02-16,D005,5931,96335,102266,99420,2.86
2024-02-16,D005,6750,75027,81777,78345,4.38
2024-02-27,D005,4129,97915,102044,103691,-1.59
2024-02-28,D005,3264,79004,82268,78937,4.22
2024-03-08,D005,4529,64260,68789,63994,7.49
2024-03-09,D005,4721,82422,87143,84307,3.36
2024-03-10,D005,5672,79546,85218,80939,5.29
2024-03-12,D005,4613,98316,102929,103526,-0.58
2024-03-17,D005,6231,56351,62582,63278,-1.1
2024-03-22,D005,4560,58967,63527,63489,0.06
2024-03-24,D005,3668,81828,85496,85992,-0.58
2024-03-26,D005,5833,67634,73467,73827,-0.49
2024-03-27,D005,5512,88987,94499,90885,3.98
2024-04-01,D005,5559,97191,102750,104262,-1.45
2024-04-03,D005,4904,53959,58863,55534,5.99
2024-04-04,D005,4010,97692,101702,99412,2.3
2024-04-06,D005,4747,66108,70855,67704,4.65
2024-04-08,D005,4370,79680,84050,81993,2.51
2024-04-09,D005,4004,89825,93829,93074,0.81
2024-04-12,D005,4219,50876,55095,57104,-3.52
2024-04-17,D005,4674,61101,65775,60825,8.14
2024-04-18,D005,4019,83440,87459,90021,-2.85
2024-04-22,D005,5011,74188,79199,79696,-0.62
2024-04-27,D005,6076,50443,56519,52000,8.69
2024-05-07,D005,3306,94565,97871,97072,0.82
2024-05-09,D005,6314,96903,103217,105494,-2.16
2024-05-12,D005,3872,71146,75018,76967,-2.53
2024-05-20,D005,3667,53370,57037,54061,5.5
2024-05-21,D005,6835,66991,73826,70657,4.49
2024-05-22,D005,4445,55837,60282,56485,6.72
2024-05-24,D005,6940,99741,106681,105355,1.26
2024-05-26,D005,6942,97469,104411,102130,2.23
2024-05-27,D005,5495,51551,57046,53084,7.46
2024-06-03,D005,4622,71536,76158,74995,1.55
2024-06-04,D005,3756,82615,86371,88267,-2.15
2024-06-09,D005,4008,83997,88005,89970,-2.18
2024-06-11,D005,3274,92678,95952,97852,-1.94
2024-06-15,D005,6706,53657,60363,58517,3.15
2024-06-16,D005,3202,70096,73298,72470,1.14
2024-06-17,D005,5548,54782,60330,59478,1.43
2024-06-20,D005,3908,65123,69031,67346,2.5
2024-06-23,D005,4584,99634,104218,104039,0.17
2024-06-24,D005,6699,76039,82738,82463,0.33
2024-06-25,D005,4305,78804,83109,79432,4.63
2024-06-28,D005,4023,80531,84554,81158,4.18
2024-06-28,D005,5059,94370,99429,99439,-0.01
2024-07-01,D005,3679,53409,57088,59399,-3.89
2024-07-06,D005,6199,91160,97359,97161,0.2
2024-07-07,D005,4746,78402,83148,80351,3.48
2024-07-13,D005,4977,69738,74715,75204,-0.65
2024-07-21,D005,3023,85771,88794,85812,3.48
2024-07-28,D005,6727,63703,70430,69502,1.34
2024-07-29,D005,4984,78832,83816,85538,-2.01
2024-08-01,D005,6279,78840,85119,84718,0.47
2024-08-02,D005,6446,75685,82131,82610,-0.58
2024-08-06,D005,6672,80791,87463,89193,-1.94
2024-08-07,D005,6490,87242,93732,94983,-1.32
2024-08-08,D005,3994,89322,93316,96309,-3.11
2024-08-12,D005,3906,90389,94295,96633,-2.42
2024-08-13,D005,6636,82991,89627,86330,3.82
2024-08-22,D005,3995,57226,61221,63034,-2.88
2024-08-24,D005,4716,83078,87794,84102,4.39
2024-08-29,D005,6372,89619,95991,93887,2.24
2024-08-30,D005,3597,91758,95355,92977,2.56
2024-08-31,D005,6765,54379,61144,60761,0.63
2024-09-03,D005,6332,50787,57119,53897,5.98
2024-09-14,D005,4919,68675,73594,71127,3.47
2024-09-17,D005,3053,57214,60267,62541,-3.64
2024-09-17,D005,5397,60759,66156,63717,3.83
2024-09-19,D005,6936,85788,92724,89658,3.42
2024-09-22,D005,6845,70594,77439,77247,0.25
2024-10-09,D005,4528,63509,68037,63936,6.41
2024-10-20,D005,4505,71113,75618,70657,7.02
2024-10-21,D005,4893,63697,68590,68924,-0.48
2024-10-22,D005,4057,57035,61092,60813,0.46
2024-10-25,D005,3943,71281,75224,71785,4.79
2024-10-27,D005,5053,69675,74728,76710,-2.58
2024-10-29,D005,4944,50009,54953,55082,-0.23
2024-10-31,D005,4377,54381,58758,55287,6.28
2024-11-07,D005,5655,59171,64826,63297,2.42
2024-11-10,D005,4325,61369,65694,64821,1.35
2024-11-15,D005,4180,91627,95807,90989,5.3
2024-11-21,D005,4765,86930,91695,94392,-2.86
2024-11-26,D005,6321,54666,60987,63273,-3.61
2024-11-28,D005,6548,60526,67074,66700,0.56
2024-11-29,D005,5100,88973,94073,89883,4.66
2024-12-01,D005,5702,56441,62143,64650,-3.88
2024-12-02,D005,3505,67513,71018,71939,-1.28
2024-12-16,D005,4668,88757,93425,89511,4.37
2024-12-19,D005,5793,73718,79511,79600,-0.11
2024-12-21,D005,6653,76201,82854,82523,0.4
2024-12-25,D005,4271,91323,95594,96226,-0.66
2024-12-31,D005,5129,96972,102101,99151,2.98
2024-01-01,D006,4006,50406,54412,51915,4.81
2024-01-11,D006,3161,65846,69007,65908,4.7
2024-01-13,D006,6311,51855,58166,55564,4.68
2024-01-18,D006,6081,66475,72556,71322,1.73
2024-01-25,D006,5550,77832,83382,83226,0.19
2024-01-26,D006,4675,53981,58656,60355,-2.82
2024-01-27,D006,5318,87425,92743,88796,4.45
2024-01-30,D006,5406,56038,61444,56989,7.82
2024-02-04,D006,4824,67572,72396,69752,3.79
2024-02-06,D006,5612,75105,80717,77615,4
2024-02-13,D006,3355,94460,97815,99775,-1.96
2024-02-16,D006,5125,98998,104123,100843,3.25
2024-02-22,D006,4473,54300,58773,55504,5.89
2024-02-22,D006,4601,75401,80002,76353,4.78
2024-02-23,D006,4129,90757,94886,96386,-1.56
2024-02-24,D006,6906,87260,94166,95628,-1.53
2024-02-27,D006,6627,95740,102367,98552,3.87
2024-03-03,D006,5341,89807,95148,92723,2.62
2024-03-05,D006,4812,69192,74004,73673,0.45
2024-03-10,D006,5669,73171,78840,79225,-0.49
2024-03-10,D006,4526,56767,61293,61730,-0.71
2024-03-15,D006,4677,52881,57558,55271,4.14
2024-03-17,D006,4016,64523,68539,69658,-1.61
2024-03-18,D006,3859,65545,69404,70525,-1.59
2024-04-04,D006,6861,84753,91614,88554,3.46
2024-04-08,D006,6963,83828,90791,91464,-0.74
2024-04-12,D006,6081,85398,91479,91318,0.18
2024-04-13,D006,3203,67357,70560,66477,6.14
2024-04-17,D006,4274,84707,88981,88028,1.08
2024-04-21,D006,5423,86730,92153,90611,1.7
2024-04-24,D006,5310,63965,69275,66734,3.81
2024-04-27,D006,5245,70684,75929,77180,-1.62
2024-04-28,D006,6896,61294,68190,65553,4.02
2024-04-28,D006,6722,65007,71729,68354,4.94
2024-04-29,D006,3681,64670,68351,67419,1.38
2024-05-07,D006,5579,88871,94450,91920,2.75
2024-05-08,D006,4031,60208,64239,66677,-3.66
2024-05-11,D006,3492,89410,92902,88717,4.72
2024-05-14,D006,5194,57851,63045,64447,-2.18
2024-05-15,D006,4219,99112,103331,102150,1.16
2024-05-16,D006,3317,53748,57065,52673,8.34
2024-05-24,D006,4074,58433,62507,58046,7.69
2024-05-25,D006,5175,76665,81840,79365,3.12
2024-05-26,D006,5231,51051,56282,55249,1.87
2024-05-26,D006,4976,82196,87172,84666,2.96
2024-05-27,D006,4359,77718,82077,81773,0.37
2024-05-29,D006,5847,93880,99727,95220,4.73
2024-06-03,D006,3628,61777,65405,66777,-2.05
2024-06-04,D006,4438,71511,75949,76897,-1.23
2024-06-06,D006,6894,51542,58436,60165,-2.87
2024-06-15,D006,6507,76390,82897,79153,4.73
2024-06-17,D006,5319,62867,68186,69296,-1.6
2024-06-25,D006,5581,65600,71181,68473,3.95
2024-06-26,D006,5039,50009,55048,57788,-4.74
2024-06-29,D006,3915,66738,70653,71022,-0.52
2024-07-01,D006,5996,54111,60107,62997,-4.59
2024-07-09,D006,4914,63751,68665,66359,3.48
2024-07-14,D006,3958,90363,94321,94653,-0.35
2024-07-18,D006,6608,61918,68526,67884,0.95
2024-07-18,D006,5070,50814,55884,58539,-4.54
2024-07-22,D006,5798,88759,94557,95218,-0.69
2024-07-25,D006,3463,68582,72045,72758,-0.98
